actorId,filmTitle,filmYear,genres,averageRating,numVotes
nm0796662,Confessions of a Co-Ed,1931,Drama,5.9,104
nm0002050,Consolation Marriage,1931,Drama,6.1,472
nm0606431,Corsair,1931,"Adventure,Crime,Romance",5.7,253
nm0646829,Cracked Nuts,1931,"Comedy,Musical,Romance",6.1,370
nm0404158,The Criminal Code,1930,"Crime,Drama,Romance",7.0,1170
nm0862546,The Cuban Love Song,1931,"Musical,Romance",5.6,212
nm0310980,Daddy Long Legs,1931,"Comedy,Romance",5.8,144
nm0062828,Daddy Long Legs,1931,"Comedy,Romance",5.8,144
nm0580916,Daddy Long Legs,1931,"Comedy,Romance",5.8,144
nm0001076,"Dance, Fools, Dance",1931,"Crime,Drama,Romance",6.3,1079
nm0370564,Daughter of the Dragon,1931,"Crime,Drama",5.8,520
nm0310980,Delicious,1931,"Comedy,Musical,Romance",5.8,232
nm0362267,Devotion,1931,"Comedy,Drama,Romance",6.2,236
nm0001366,Devotion,1931,"Comedy,Drama,Romance",6.2,236
nm0000017,Dishonored,1931,"Drama,Romance,War",7.2,2686
nm0572142,Dishonored,1931,"Drama,Romance,War",7.2,2686
nm0062828,Doctors' Wives,1931,Drama,5.6,67
nm0502322,The 3 Penny Opera,1931,"Comedy,Crime,Drama",7.3,2276
nm0642988,Dude Ranch,1931,"Comedy,Western",5.3,56
nm0260020,Dude Ranch,1931,"Comedy,Western",5.3,56
nm0708081,The Easiest Way,1931,"Drama,Romance",6.2,523
nm0579663,The Easiest Way,1931,"Drama,Romance",6.2,523
nm0599910,The Easiest Way,1931,"Drama,Romance",6.2,523
